"row","math_score","WEALTH","ST28Q01"
"191",481.809355263158,1.35,"26-100 books "
"192",517.02962368421,2.22,"More than 500 books"
"193",624.969868421053,3.78,"101-200 books "
"194",422.6101,1.53,"11-25 books "
"195",425.955442105263,0.36,"11-25 books "
"196",467.542492105263,2.22,"26-100 books "
"197",423.598107894737,1.58,"0-10 books "
"198",344.966423684211,2.16,"101-200 books "
"199",227.670739473684,-0.46,"0-10 books "
"200",539.905781578947,1.78,"26-100 books "
"201",394.420768421053,0.59,"0-10 books "
"202",456.780860526316,1.27,"11-25 books "
"203",309.323886842105,-0.66,"11-25 books "
"204",390.521968421053,0.84,"11-25 books "
"205",635.050960526316,1.39,"26-100 books "
"206",417.247721052632,1.58,"201-500 books "
"207",603.483492105263,2.43,"26-100 books "
"208",407.260926315789,0.68,"26-100 books "
"209",587.338984210526,1.57,"201-500 books "
"210",609.751884210526,2.13,"26-100 books "
"211",472.396492105263,2.78,"201-500 books "
"212",407.326521052632,-0.41,"26-100 books "
"213",346.671878947368,1.25,"0-10 books "
"214",470.473763157895,0.87,"26-100 books "
"215",534.457328947368,2.16,"201-500 books "
"216",603.217010526316,1.86,"101-200 books "
"217",638.539778947368,2.43,"201-500 books "
"218",660.415628947368,3.78,"26-100 books "
"219",519.227055263158,2.89,"11-25 books "
"220",647.731239473684,1.29,"26-100 books "
"221",321.495805263158,-0.22,"0-10 books "
"222",483.912481578947,0.41,"11-25 books "
"223",625.404426315789,3.38,"26-100 books "
"224",386.532978947368,1.85,"11-25 books "
"225",407.174842105263,0.46,"11-25 books "
"226",281.417426315789,-0.34,"0-10 books "
"227",469.424239473684,2.05,"0-10 books "
"228",293.195778947368,0.31,"11-25 books "
"229",554.537515789474,1.77,"More than 500 books"
"230",589.056747368421,2.15,"More than 500 books"
"231",446.125810526316,1.3,"101-200 books "
"232",582.128310526316,1.65,"More than 500 books"
"233",383.322944736842,1.18,"11-25 books "
"234",529.386034210526,2.06,"26-100 books "
"235",491.201686842105,0.63,"101-200 books "
"236",381.674876315789,1.3,"11-25 books "
"237",446.060202631579,3,"26-100 books "
"238",469.026584210526,1.91,"26-100 books "
"239",451.102810526316,2.15,"26-100 books "
"240",373.102460526316,1.77,"26-100 books "
"241",445.691242105263,1.35,"More than 500 books"
"242",525.782418421053,1.56,"101-200 books "
"243",422.687992105263,2.45,"0-10 books "
"244",586.605134210526,3.78,"More than 500 books"
"245",630.020660526316,1.16,"11-25 books "
"246",450.057407894737,2.5,"101-200 books "
"247",634.120331578947,1.88,"201-500 books "
"248",337.738697368421,1.51,"11-25 books "
"249",693.253989473684,2.59,"11-25 books "
"250",481.296886842105,-0.04,"26-100 books "
"251",496.756744736842,2.05,"0-10 books "
"252",472.212015789474,1.86,"26-100 books "
"253",304.158294736842,0.1,"0-10 books "
"254",347.180257894737,0.97,"11-25 books "
"255",615.876794736842,0.88,"101-200 books "
"256",457.453207894737,2.51,"0-10 books "
"257",544.653207894737,2.31,"101-200 books "
"258",608.694168421053,0.53,"More than 500 books"
"259",311.959965789474,-1.15,"11-25 books "
"260",329.760744736842,-0.5,"0-10 books "
"261",530.304363157895,2.57,"11-25 books "
"262",395.872031578947,3.12,"0-10 books "
"263",467.726978947368,1.83,"26-100 books "
"264",437.549305263158,1.89,"11-25 books "
"265",537.847752631579,0.81,"26-100 books "
"266",602.544671052632,3.78,"More than 500 books"
"267",330.174807894737,2.85,"201-500 books "
"268",556.915331578947,1.58,"101-200 books "
"269",341.338215789474,1.12,"26-100 books "
"270",412.717594736842,3.15,"26-100 books "
"271",411.643486842105,-0.61,"11-25 books "
"272",411.889455263158,3.78,"0-10 books "
"273",371.606092105263,-1.09,"0-10 books "
"274",455.837934210526,-0.04,"26-100 books "
"275",486.032013157895,1.88,"0-10 books "
"276",337.201636842105,0.65,"26-100 books "
"277",342.137655263158,2.78,"11-25 books "
"278",616.376955263158,3.46,"201-500 books "
"279",353.805310526316,1.27,"0-10 books "
"280",656.455339473684,1.64,"201-500 books "
"281",318.539947368421,1.11,"More than 500 books"
"282",360.89365,1.71,"26-100 books "
"283",697.9604,2.21,"More than 500 books"
"284",278.190986842105,-1.29,"0-10 books "
"285",501.557471052632,2.31,"More than 500 books"
"286",544.35392368421,3.05,"101-200 books "
"287",492.124121052632,4.86,"201-500 books "
"288",517.861857894737,3.79,"26-100 books "
"289",436.372686842105,2.44,"0-10 books "
"290",601.302468421053,3.25,"101-200 books "
"291",483.670607894737,1.89,"101-200 books "
"292",392.05935,2.11,"11-25 books "
"293",380.772952631579,3.93,"26-100 books "
"294",337.439431578947,0.97,"11-25 books "
"295",317.658515789474,0.73,"201-500 books "
"296",445.289489473684,2.78,"101-200 books "
"297",381.269013157895,1.12,"11-25 books "
"298",603.385097368421,1.13,"101-200 books "
"299",368.9577,0.95,"0-10 books "
"300",498.515510526316,1.95,"11-25 books "
"301",402.197836842105,0.69,"11-25 books "
"302",553.651986842105,1.46,"11-25 books "
"303",454.583434210526,3.93,"11-25 books "
"304",420.371673684211,-0.6,"11-25 books "
"305",542.607468421053,1.92,"101-200 books "
"306",503.537613157895,4.9,"101-200 books "
"307",430.506063157895,0.6,"11-25 books "
"308",351.148731578947,-0.02,"26-100 books "
"309",457.481902631579,2.72,"26-100 books "
"310",390.202197368421,2.04,"26-100 books "
"311",445.346860526316,2.16,"201-500 books "
"312",376.656886842105,2.09,"11-25 books "
"313",437.983860526316,5.03,"0-10 books "
"314",376.468292105263,3,"26-100 books "
"315",655.655907894737,2.05,"More than 500 books"
"316",405.977728947368,0.65,"0-10 books "
"317",411.90995,2.59,"11-25 books "
"318",454.981102631579,2.01,"11-25 books "
"319",339.628647368421,0.96,"11-25 books "
"320",642.233592105263,2.43,"11-25 books "
"321",633.3496,3.2,"26-100 books "
"322",400.168502631579,2.03,"More than 500 books"
"323",582.468578947368,1.16,"26-100 books "
"324",411.249905263158,3.2,"201-500 books "
"325",429.661534210526,1.7,"0-10 books "
"326",525.905410526316,1.58,"26-100 books "
"327",329.481973684211,-1.66,"0-10 books "
"328",417.378907894737,3.08,"101-200 books "
"329",597.608660526316,3.74,"More than 500 books"
"330",314.378771052632,0.25,"0-10 books "
"331",599.174736842105,1.65,"26-100 books "
"332",561.949728947368,1.87,"11-25 books "
"333",508.969678947368,3.29,"26-100 books "
"334",508.674492105263,1.44,"26-100 books "
"335",538.897276315789,0.43,"0-10 books "
"336",534.166244736842,2.79,"101-200 books "
"337",647.354068421053,1.89,"More than 500 books"
"338",597.440576315789,3.27,"101-200 books "
"339",629.459007894737,1.71,"201-500 books "
"340",409.487055263158,0.0700000000000001,"0-10 books "
"341",328.801415789474,-0.0800000000000001,"26-100 books "
"342",351.886671052632,2.05,"26-100 books "
"343",380.268697368421,1.92,"0-10 books "
"344",612.871734210526,3.46,"201-500 books "
"345",496.244292105263,2.15,"0-10 books "
"346",442.903468421053,2.42,"More than 500 books"
"347",425.356871052632,1.72,"26-100 books "
"348",473.13445,1.76,"0-10 books "
"349",603.262115789474,2.2,"26-100 books "
"350",361.836573684211,1.42,"26-100 books "
"351",435.831539473684,-0.87,"0-10 books "
"352",563.433802631579,2.8,"101-200 books "
"353",404.370657894737,2.85,"26-100 books "
"354",589.528213157895,2.45,"11-25 books "
"355",506.292586842105,3.9,"201-500 books "
"356",621.850018421053,1.95,"0-10 books "
"357",293.855823684211,1.77,"0-10 books "
"358",329.244197368421,0.97,"0-10 books "
"359",376.369910526316,0.75,"11-25 books "
"360",471.867647368421,1.96,"101-200 books "
"361",432.986365789474,2.53,"26-100 books "
"362",499.495326315789,0.31,"26-100 books "
"363",329.740247368421,-0.31,"0-10 books "
"364",360.495976315789,0.65,"0-10 books "
"365",443.608618421053,1.04,"0-10 books "
"366",363.082863157895,2.41,"26-100 books "
"367",554.12345,2.31,"26-100 books "
"368",491.062305263158,0.84,"26-100 books "
"369",545.948705263158,2.61,"26-100 books "
"370",655.102455263158,2.15,"More than 500 books"
"371",478.103244736842,2.22,"More than 500 books"
"372",407.240434210526,2.06,"26-100 books "
"373",602.573357894737,3.78,"201-500 books "
"374",433.142152631579,3.42,"11-25 books "
"375",455.657542105263,0.51,"0-10 books "
"376",661.383139473684,2.78,"201-500 books "
